gameID, patch, winningTeam, BlueChampion1, BlueChampion2, BlueChampion3, BlueChampion4, BlueChampion5, RedChampion1, RedChampion2, RedChampion3, RedChampion4, RedChampion5
EUW1_6811643336,14.3.558.8314,Red,Rumble,MasterYi,Smolder,Seraphine,Senna,Ivern,Zac,Velkoz,Kaisa,Lulu
EUW1_6811549706,14.3.558.8314,Red,Sejuani,Khazix,Diana,Varus,Lulu,Olaf,Nidalee,AurelionSol,Draven,Nautilus
EUW1_6811471549,14.3.558.8314,Red,Akali,Graves,Azir,Jinx,Blitzcrank,Rumble,Brand,Yasuo,Draven,Morgana
EUW1_6811394952,14.3.558.8314,Red,Yorick,Viego,TwistedFate,Varus,Maokai,Gnar,LeeSin,Syndra,Ezreal,Pyke
EUW1_6811346681,14.3.558.8314,Red,Gangplank,Karthus,Tristana,Ezreal,Rakan,Sett,LeeSin,AurelionSol,Jhin,Bard
EUW1_6811643336,14.3.558.8314,Red,Rumble,MasterYi,Smolder,Seraphine,Senna,Ivern,Zac,Velkoz,Kaisa,Lulu
EUW1_6811549706,14.3.558.8314,Red,Sejuani,Khazix,Diana,Varus,Lulu,Olaf,Nidalee,AurelionSol,Draven,Nautilus
EUW1_6811471549,14.3.558.8314,Red,Akali,Graves,Azir,Jinx,Blitzcrank,Rumble,Brand,Yasuo,Draven,Morgana
EUW1_6811394952,14.3.558.8314,Red,Yorick,Viego,TwistedFate,Varus,Maokai,Gnar,LeeSin,Syndra,Ezreal,Pyke
EUW1_6811346681,14.3.558.8314,Red,Gangplank,Karthus,Tristana,Ezreal,Rakan,Sett,LeeSin,AurelionSol,Jhin,Bard
EUW1_6811356172,14.3.558.8314,Red,Blitzcrank,Vi,Shyvana,Nautilus,Ezreal,Ezreal,JarvanIV,Akali,Akshan,TwistedFate
EUW1_6806438426,14.3.558.8314,Red,Draven,Taric,Jinx,Udyr,Rakan,Nidalee,Ziggs,Tristana,Trundle,Heimerdinger
EUW1_6806427210,14.3.558.8314,Red,JarvanIV,Fizz,Malphite,Garen,Aatrox,Twitch,Ziggs,Tristana,Ezreal,Heimerdinger
EUW1_6806402125,14.3.558.8314,Red,Zilean,Taliyah,Riven,Leblanc,Vayne,Lillia,MissFortune,Yorick,Qiyana,Singed
