teamBlue,teamRed,patch,winner,Blue_champion_1,Red_champion_1,Blue_champion_2,Red_champion_2,Blue_champion_3,Red_champion_3,Blue_champion_4,Red_champion_4,Blue_champion_5,Red_champion_5
LNG Esports,Rare Atom,13.24,Red,Aatrox,Rumble,Maokai,Rell,Orianna,LeBlanc,Kalista,Varus,Senna,Renata Glasc
LNG Esports,Rare Atom,13.24,Red,Kennen,Jax,Bel'Veth,Jarvan IV,Neeko,LeBlanc,Senna,Kalista,Tahm Kench,Rell
LNG Esports,Rare Atom,13.24,Blue,Jax,Aatrox,Bel'Veth,Lee Sin,Neeko,Azir,Caitlyn,Kalista,Lux,Renata Glasc
Rare Atom,LNG Esports,13.24,Blue,Rumble,Aatrox,Jarvan IV,Wukong,Tristana,Orianna,Draven,Kalista,Renata Glasc,Senna
JD Gaming,Top Esports,13.24,Blue,Renekton,Aatrox,Xin Zhao,Lee Sin,Azir,Orianna,Varus,Lucian,Nautilus,Milio
Top Esports,JD Gaming,13.24,Blue,Rumble,Ryze,Poppy,Lee Sin,Neeko,Orianna,Lucian,Xayah,Milio,Rakan
JD Gaming,Top Esports,13.24,Blue,Jax,Aatrox,Nocturne,Lee Sin,Neeko,Orianna,Zeri,Senna,Lulu,Tahm Kench
Top Esports,JD Gaming,13.24,Blue,Jax,Renekton,Jarvan IV,Sejuani,Akali,Neeko,Lucian,Zeri,Nami,Milio
JD Gaming,Top Esports,13.24,Blue,Jax,Gragas,Xin Zhao,Lee Sin,Neeko,Sylas,Lucian,Draven,Nami,Milio
Ninjas in Pyjamas,Bilibili Gaming,13.24,Red,Aatrox,Renekton,Lee Sin,Nidalee,LeBlanc,Tristana,Caitlyn,Kalista,Lux,Renata Glasc
Ninjas in Pyjamas,Bilibili Gaming,13.24,Red,Renekton,K'Sante,Bel'Veth,Lee Sin,Neeko,Orianna,Lucian,Caitlyn,Milio,Lux
Ninjas in Pyjamas,Bilibili Gaming,13.24,Red,Renekton,Kennen,Maokai,Vi,LeBlanc,Tristana,Caitlyn,Kalista,Lux,Renata Glasc
Rare Atom,JD Gaming,13.24,Red,Aatrox,Jax,Vi,Lee Sin,Akali,Azir,Draven,Varus,Ashe,Tahm Kench
Rare Atom,JD Gaming,13.24,Red,Aatrox,Jax,Kha'Zix,Lee Sin,Azir,Orianna,Varus,Ezreal,Nautilus,Braum
JD Gaming,Rare Atom,13.24,Blue,Jax,Aatrox,Xin Zhao,Poppy,Neeko,Orianna,Lucian,Draven,Milio,Nautilus
JD Gaming,Bilibili Gaming,13.24,Red,Yone,Aatrox,Lee Sin,Vi,Orianna,Neeko,Ashe,Varus,Renata Glasc,Rakan
Bilibili Gaming,JD Gaming,13.24,Blue,Jax,Gragas,Wukong,Xin Zhao,Ahri,Syndra,Xayah,Varus,Rakan,Renata Glasc
JD Gaming,Bilibili Gaming,13.24,Red,Udyr,Rumble,Xin Zhao,Lee Sin,Neeko,Akali,Lucian,Xayah,Milio,Rakan
Bilibili Gaming,Top Esports,14.01,Blue,K'Sante,Udyr,Brand,Xin Zhao,LeBlanc,Azir,Varus,Kalista,Ashe,Nautilus
Top Esports,Bilibili Gaming,14.01,Blue,Udyr,Aatrox,Jarvan IV,Vi,Azir,Orianna,Kalista,Xayah,Renata Glasc,Rakan
Bilibili Gaming,Top Esports,14.01,Blue,Kennen,Sion,Wukong,Lee Sin,LeBlanc,Azir,Varus,Kalista,Renata Glasc,Soraka
Royal Never Give Up,EDward Gaming,14.01,Red,Udyr,Jax,Nocturne,Maokai,Orianna,Azir,Kalista,Varus,Rell,Bard
EDward Gaming,Royal Never Give Up,14.01,Red,Jax,K'Sante,Maokai,Vi,Azir,Akali,Jhin,Varus,Neeko,Nautilus
Royal Never Give Up,EDward Gaming,14.01,Blue,Kennen,Aatrox,Vi,Poppy,Taliyah,Azir,Kalista,Varus,Sett,Nautilus
Oh My God,Team WE,14.01,Blue,Rumble,Udyr,Jax,Xin Zhao,LeBlanc,Azir,Varus,Aphelios,Rakan,Renata Glasc
Oh My God,Team WE,14.01,Blue,Jax,Udyr,Maokai,Vi,LeBlanc,Azir,Ziggs,Varus,Rakan,Renata Glasc
Anyone's Legend,FunPlus Phoenix,14.01,Blue,K'Sante,Jax,Maokai,Xin Zhao,Azir,Corki,Lucian,Swain,Milio,Pyke
FunPlus Phoenix,Anyone's Legend,14.01,Red,Jax,K'Sante,Nocturne,Sejuani,Orianna,Azir,Kai'Sa,Varus,Rell,Renata Glasc
Ninjas in Pyjamas,LGD Gaming,14.01,Blue,Aatrox,K'Sante,Rell,Sejuani,Azir,Yone,Xayah,Senna,Rakan,Tahm Kench
LGD Gaming,Ninjas in Pyjamas,14.01,Red,Udyr,K'Sante,Kindred,Maokai,Azir,Yone,Senna,Lucian,Tahm Kench,Milio
Ultra Prime,Invictus Gaming,14.01,Red,K'Sante,Jax,Xin Zhao,Rell,Azir,Taliyah,Kalista,Draven,Nautilus,Renata Glasc
Invictus Gaming,Ultra Prime,14.01,Blue,K'Sante,Gnar,Lee Sin,Maokai,Azir,LeBlanc,Kalista,Lucian,Nautilus,Milio
